semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.4273,0.8318,0.8187,0.7978,0.8054,8.51,model_kedinasan_smote/tuned_1/dnn_sem_1.keras
2,0.3708,0.857,0.8452,0.8521,0.8451,14.7,model_kedinasan_smote/tuned_1/dnn_sem_2.keras
3,0.2941,0.8883,0.88,0.8827,0.8791,19.61,model_kedinasan_smote/tuned_1/dnn_sem_3.keras
4,0.2721,0.899,0.8943,0.8946,0.8937,23.95,model_kedinasan_smote/tuned_1/dnn_sem_4.keras
5,0.2708,0.9027,0.9006,0.9003,0.8997,25.4,model_kedinasan_smote/tuned_1/dnn_sem_5.keras
6,0.0504,0.9841,0.9838,0.984,0.9839,110.54,model_kedinasan_smote/tuned_1/dnn_sem_6.keras
7,0.2429,0.9123,0.913,0.9098,0.9109,30.87,model_kedinasan_smote/tuned_1/dnn_sem_7.keras
8,0.2601,0.903,0.9033,0.9025,0.9017,30.74,model_kedinasan_smote/tuned_1/dnn_sem_8.keras
9,0.2438,0.9093,0.912,0.9093,0.9087,31.12,model_kedinasan_smote/tuned_1/dnn_sem_9.keras
10,0.2444,0.9076,0.9107,0.907,0.907,31.42,model_kedinasan_smote/tuned_1/dnn_sem_10.keras
11,0.2724,0.8964,0.8996,0.8974,0.8955,31.6,model_kedinasan_smote/tuned_1/dnn_sem_11.keras
12,0.2176,0.9248,0.9241,0.9242,0.9238,31.22,model_kedinasan_smote/tuned_1/dnn_sem_12.keras
