semester,loss,accuracy,precision,recall,f1_score,dur,path
1,0.5105,0.8332,0.7179,0.4915,0.5302,2.64,model_kedinasan_feature_selection/dnn_sem_1.keras
2,0.4439,0.8362,0.674,0.5452,0.5714,3.44,model_kedinasan_feature_selection/dnn_sem_2.keras
3,0.4326,0.8496,0.7139,0.5581,0.581,4.28,model_kedinasan_feature_selection/dnn_sem_3.keras
4,0.3561,0.8722,0.6719,0.5801,0.6046,4.98,model_kedinasan_feature_selection/dnn_sem_4.keras
5,0.3248,0.88,0.7771,0.6192,0.6684,5.85,model_kedinasan_feature_selection/dnn_sem_5.keras
6,0.3093,0.8951,0.6894,0.6037,0.6287,6.58,model_kedinasan_feature_selection/dnn_sem_6.keras
7,0.2711,0.8999,0.8396,0.6895,0.744,6.75,model_kedinasan_feature_selection/dnn_sem_7.keras
8,0.2595,0.9078,0.8578,0.6735,0.7335,6.93,model_kedinasan_feature_selection/dnn_sem_8.keras
9,0.2685,0.9061,0.868,0.726,0.7793,6.98,model_kedinasan_feature_selection/dnn_sem_9.keras
10,0.2662,0.9086,0.8621,0.7283,0.7762,6.94,model_kedinasan_feature_selection/dnn_sem_10.keras
11,0.2768,0.9054,0.8631,0.7355,0.7865,6.79,model_kedinasan_feature_selection/dnn_sem_11.keras
12,0.2707,0.9026,0.8314,0.7469,0.7763,7.36,model_kedinasan_feature_selection/dnn_sem_12.keras
