semester,loss,accuracy,precision,recall,f1_score,dur,path
1,0.5201,0.8231,0.6231,0.4466,0.4733,2.88,model_kedinasan_feature_selection/dnn_sem_1.keras
2,0.4587,0.8394,0.6812,0.527,0.5595,3.92,model_kedinasan_feature_selection/dnn_sem_2.keras
3,0.4436,0.8472,0.5638,0.5177,0.5338,4.72,model_kedinasan_feature_selection/dnn_sem_3.keras
4,0.36,0.8751,0.6852,0.586,0.5961,5.6,model_kedinasan_feature_selection/dnn_sem_4.keras
5,0.356,0.8735,0.8115,0.6376,0.6848,6.34,model_kedinasan_feature_selection/dnn_sem_5.keras
6,0.3335,0.882,0.6649,0.5521,0.5887,7.02,model_kedinasan_feature_selection/dnn_sem_6.keras
7,0.2973,0.8916,0.831,0.6971,0.7416,7.45,model_kedinasan_feature_selection/dnn_sem_7.keras
8,0.2813,0.899,0.8404,0.6712,0.7245,7.77,model_kedinasan_feature_selection/dnn_sem_8.keras
9,0.2905,0.8987,0.8443,0.6494,0.7085,7.65,model_kedinasan_feature_selection/dnn_sem_9.keras
10,0.2854,0.8972,0.8102,0.692,0.7276,7.64,model_kedinasan_feature_selection/dnn_sem_10.keras
11,0.2857,0.9008,0.841,0.6887,0.7287,7.69,model_kedinasan_feature_selection/dnn_sem_11.keras
12,0.2973,0.9002,0.8091,0.717,0.7535,7.64,model_kedinasan_feature_selection/dnn_sem_12.keras
