semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.6638,0.766,0.7646,0.7713,0.7654,25.51,model_pts_smote/tuned_5/dnn_sem_1.keras
2,0.5377,0.8091,0.8117,0.8057,0.8057,47.62,model_pts_smote/tuned_5/dnn_sem_2.keras
3,0.5269,0.8127,0.8143,0.8095,0.8077,62.84,model_pts_smote/tuned_5/dnn_sem_3.keras
4,0.5002,0.8183,0.8243,0.815,0.8147,79.66,model_pts_smote/tuned_5/dnn_sem_4.keras
5,0.4783,0.8283,0.8278,0.8282,0.8257,93.59,model_pts_smote/tuned_5/dnn_sem_5.keras
6,0.4648,0.8321,0.8304,0.8328,0.8312,109.19,model_pts_smote/tuned_5/dnn_sem_6.keras
7,0.4523,0.8332,0.8373,0.833,0.8324,119.8,model_pts_smote/tuned_5/dnn_sem_7.keras
8,0.4322,0.846,0.8473,0.8489,0.8465,136.27,model_pts_smote/tuned_5/dnn_sem_8.keras
9,0.4204,0.8509,0.8519,0.8522,0.8508,136.78,model_pts_smote/tuned_5/dnn_sem_9.keras
10,0.4341,0.8472,0.8519,0.8481,0.8467,139.78,model_pts_smote/tuned_5/dnn_sem_10.keras
11,0.4246,0.8484,0.8512,0.8484,0.8466,145.21,model_pts_smote/tuned_5/dnn_sem_11.keras
14,0.4697,0.8305,0.8397,0.8312,0.8291,147.73,model_pts_smote/tuned_5/dnn_sem_14.keras
13,0.4256,0.8443,0.8469,0.8445,0.8438,149.85,model_pts_smote/tuned_5/dnn_sem_13.keras
12,0.4485,0.8368,0.8482,0.8367,0.8362,150.32,model_pts_smote/tuned_5/dnn_sem_12.keras
