semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.6916,0.7211,0.6956,0.6607,0.6518,8.05,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_1.keras
2,0.5627,0.777,0.7386,0.722,0.7166,13.16,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_2.keras
3,0.6077,0.7581,0.749,0.7478,0.7439,15.75,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_3.keras
4,0.5432,0.8028,0.7976,0.7833,0.7836,18.28,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_4.keras
5,0.5405,0.8025,0.7977,0.7948,0.7936,20.4,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_5.keras
6,0.5241,0.7994,0.7967,0.7948,0.7928,22.53,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_6.keras
7,0.5291,0.8017,0.803,0.7963,0.7951,23.67,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_7.keras
8,0.4995,0.8128,0.8168,0.8083,0.808,24.39,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_8.keras
9,0.4957,0.8144,0.8142,0.8133,0.8113,26.11,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_9.keras
10,0.5003,0.81,0.8115,0.8095,0.8079,24.79,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_10.keras
11,0.497,0.8183,0.8218,0.8189,0.8175,24.89,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_11.keras
12,0.4878,0.8159,0.8189,0.8151,0.8132,24.76,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_12.keras
