semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.7466,0.3475,0.5068,0.3815,0.2957,9.33,model_ptn_smote_feature_selection/tuned_1/dnn_sem_1.keras
2,1.3424,0.4783,0.506,0.5069,0.4564,15.92,model_ptn_smote_feature_selection/tuned_1/dnn_sem_2.keras
3,1.1965,0.5512,0.5527,0.5603,0.5484,21.5,model_ptn_smote_feature_selection/tuned_1/dnn_sem_3.keras
4,1.1508,0.5564,0.5627,0.5666,0.552,27.63,model_ptn_smote_feature_selection/tuned_1/dnn_sem_4.keras
5,1.1751,0.5513,0.5601,0.5652,0.5541,35.7,model_ptn_smote_feature_selection/tuned_1/dnn_sem_5.keras
6,0.9874,0.6248,0.6239,0.6213,0.6087,47.11,model_ptn_smote_feature_selection/tuned_1/dnn_sem_6.keras
7,1.0106,0.6044,0.6198,0.6026,0.5982,41.0,model_ptn_smote_feature_selection/tuned_1/dnn_sem_7.keras
8,0.5636,0.7901,0.789,0.7905,0.7878,311.81,model_ptn_smote_feature_selection/tuned_1/dnn_sem_8.keras
9,0.9753,0.6288,0.6245,0.6285,0.6236,50.15,model_ptn_smote_feature_selection/tuned_1/dnn_sem_9.keras
10,0.9457,0.6445,0.652,0.6424,0.639,50.72,model_ptn_smote_feature_selection/tuned_1/dnn_sem_10.keras
11,0.9645,0.6356,0.635,0.6341,0.6269,56.62,model_ptn_smote_feature_selection/tuned_1/dnn_sem_11.keras
12,1.0213,0.6187,0.6372,0.6187,0.6204,62.28,model_ptn_smote_feature_selection/tuned_1/dnn_sem_12.keras
13,0.9547,0.6385,0.6439,0.638,0.6307,60.61,model_ptn_smote_feature_selection/tuned_1/dnn_sem_13.keras
14,0.9748,0.6358,0.6501,0.6358,0.633,59.45,model_ptn_smote_feature_selection/tuned_1/dnn_sem_14.keras
