semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.6012,0.786,0.7833,0.7848,0.7751,28.75,model_pts_smote_feature_selection/tuned_3/dnn_sem_1.keras
2,0.4765,0.8273,0.8287,0.8219,0.8208,49.07,model_pts_smote_feature_selection/tuned_3/dnn_sem_2.keras
3,0.462,0.8358,0.8361,0.8353,0.834,67.74,model_pts_smote_feature_selection/tuned_3/dnn_sem_3.keras
4,0.4139,0.8483,0.855,0.845,0.8466,86.07,model_pts_smote_feature_selection/tuned_3/dnn_sem_4.keras
5,0.4117,0.8501,0.8514,0.8528,0.8501,125.35,model_pts_smote_feature_selection/tuned_3/dnn_sem_5.keras
6,0.3799,0.8591,0.8603,0.8619,0.8595,148.7,model_pts_smote_feature_selection/tuned_3/dnn_sem_6.keras
7,0.3787,0.8611,0.8629,0.8634,0.8614,157.93,model_pts_smote_feature_selection/tuned_3/dnn_sem_7.keras
8,0.3604,0.8681,0.8707,0.8708,0.8693,140.23,model_pts_smote_feature_selection/tuned_3/dnn_sem_8.keras
9,0.3845,0.86,0.8648,0.8605,0.8591,166.68,model_pts_smote_feature_selection/tuned_3/dnn_sem_9.keras
10,0.353,0.8721,0.8749,0.8725,0.8716,163.39,model_pts_smote_feature_selection/tuned_3/dnn_sem_10.keras
11,0.3405,0.8765,0.8782,0.8766,0.8761,149.29,model_pts_smote_feature_selection/tuned_3/dnn_sem_11.keras
14,0.3368,0.8767,0.8774,0.8769,0.8764,158.54,model_pts_smote_feature_selection/tuned_3/dnn_sem_14.keras
13,0.3446,0.8773,0.877,0.8772,0.8766,163.14,model_pts_smote_feature_selection/tuned_3/dnn_sem_13.keras
12,0.3596,0.8674,0.8691,0.8676,0.8665,160.28,model_pts_smote_feature_selection/tuned_3/dnn_sem_12.keras
