semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.901,0.6578,0.6621,0.5965,0.5794,12.2,model_kedinasan_smote/tuned_4/dnn_sem_1.keras
2,0.5781,0.7785,0.7715,0.7328,0.737,21.23,model_kedinasan_smote/tuned_4/dnn_sem_2.keras
3,0.5723,0.7799,0.7643,0.7569,0.7503,25.74,model_kedinasan_smote/tuned_4/dnn_sem_3.keras
4,0.5479,0.789,0.7901,0.7792,0.7762,29.1,model_kedinasan_smote/tuned_4/dnn_sem_4.keras
5,0.7552,0.7038,0.779,0.6843,0.6445,33.55,model_kedinasan_smote/tuned_4/dnn_sem_5.keras
6,0.4531,0.8356,0.8456,0.8347,0.8347,37.28,model_kedinasan_smote/tuned_4/dnn_sem_6.keras
7,0.4281,0.8356,0.8457,0.8343,0.8302,40.45,model_kedinasan_smote/tuned_4/dnn_sem_7.keras
8,0.4254,0.8449,0.857,0.8452,0.8428,40.72,model_kedinasan_smote/tuned_4/dnn_sem_8.keras
9,0.46,0.8281,0.8443,0.828,0.8258,41.6,model_kedinasan_smote/tuned_4/dnn_sem_9.keras
10,0.454,0.8171,0.8257,0.8166,0.8159,43.01,model_kedinasan_smote/tuned_4/dnn_sem_10.keras
11,0.5477,0.791,0.8364,0.7903,0.7865,42.54,model_kedinasan_smote/tuned_4/dnn_sem_11.keras
12,0.419,0.8478,0.8514,0.8468,0.8435,41.51,model_kedinasan_smote/tuned_4/dnn_sem_12.keras
