semester,loss,accuracy,precision,recall,f1_score,dur,model_path
1,1.1326,0.6133,0.3798,0.3452,0.3532,12.66,model_ptn_feature_selection/dnn_sem_1.keras
2,0.858,0.6713,0.444,0.3654,0.3832,8.39,model_ptn_feature_selection/dnn_sem_2.keras
3,0.8053,0.6831,0.5139,0.4314,0.4444,10.19,model_ptn_feature_selection/dnn_sem_3.keras
4,0.7396,0.7192,0.5578,0.5315,0.5415,27.0,model_ptn_feature_selection/dnn_sem_4.keras
5,0.6657,0.75,0.5625,0.5097,0.53,27.53,model_ptn_feature_selection/dnn_sem_5.keras
6,0.62,0.7612,0.6283,0.5739,0.5843,30.98,model_ptn_feature_selection/dnn_sem_6.keras
7,0.8515,0.6715,0.4764,0.3373,0.3485,12.47,model_ptn_feature_selection/dnn_sem_7.keras
8,0.6192,0.7785,0.6436,0.5998,0.6188,49.56,model_ptn_feature_selection/dnn_sem_8.keras
9,0.8234,0.6817,0.4754,0.3847,0.388,13.28,model_ptn_feature_selection/dnn_sem_9.keras
10,0.7757,0.7056,0.4661,0.3977,0.4055,13.27,model_ptn_feature_selection/dnn_sem_10.keras
11,0.7957,0.6979,0.4804,0.3863,0.4006,13.37,model_ptn_feature_selection/dnn_sem_11.keras
12,0.7807,0.7042,0.4356,0.4027,0.4066,13.47,model_ptn_feature_selection/dnn_sem_12.keras
13,0.7881,0.6961,0.4235,0.3905,0.3994,13.38,model_ptn_feature_selection/dnn_sem_13.keras
14,0.7826,0.708,0.434,0.4062,0.4115,13.57,model_ptn_feature_selection/dnn_sem_14.keras
