semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.763,0.7293,0.7405,0.7358,0.7161,6.72,model_ptn_smote/tuned_2/dnn_sem_1.keras
2,0.5775,0.799,0.7941,0.801,0.7948,11.16,model_ptn_smote/tuned_2/dnn_sem_2.keras
3,0.474,0.8395,0.8449,0.8418,0.8376,15.19,model_ptn_smote/tuned_2/dnn_sem_3.keras
4,0.4286,0.8493,0.8478,0.8549,0.848,19.66,model_ptn_smote/tuned_2/dnn_sem_4.keras
5,0.3818,0.8653,0.8627,0.8647,0.8619,22.33,model_ptn_smote/tuned_2/dnn_sem_5.keras
6,0.3781,0.8604,0.8609,0.8557,0.8574,26.11,model_ptn_smote/tuned_2/dnn_sem_6.keras
7,0.3728,0.8616,0.8648,0.8587,0.8582,28.14,model_ptn_smote/tuned_2/dnn_sem_7.keras
8,0.3741,0.8627,0.8599,0.8609,0.8587,30.17,model_ptn_smote/tuned_2/dnn_sem_8.keras
9,0.3592,0.8745,0.8793,0.8746,0.874,30.8,model_ptn_smote/tuned_2/dnn_sem_9.keras
10,0.3961,0.8534,0.8619,0.853,0.8523,31.43,model_ptn_smote/tuned_2/dnn_sem_10.keras
11,0.3489,0.8666,0.8679,0.8662,0.8652,31.51,model_ptn_smote/tuned_2/dnn_sem_11.keras
12,0.367,0.8657,0.8685,0.8655,0.8639,31.26,model_ptn_smote/tuned_2/dnn_sem_12.keras
13,0.3384,0.8847,0.8856,0.8837,0.8831,31.61,model_ptn_smote/tuned_2/dnn_sem_13.keras
14,0.3345,0.8801,0.8844,0.88,0.8791,31.46,model_ptn_smote/tuned_2/dnn_sem_14.keras
