semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.1503,0.5855,0.5599,0.5684,0.5556,10.93,model_pts_smote_feature_selection/tuned_1/dnn_sem_1.keras
2,1.0655,0.6128,0.5963,0.5987,0.5913,18.88,model_pts_smote_feature_selection/tuned_1/dnn_sem_2.keras
3,1.0201,0.6221,0.6139,0.6128,0.6011,27.15,model_pts_smote_feature_selection/tuned_1/dnn_sem_3.keras
4,0.9537,0.6493,0.6363,0.6452,0.635,33.94,model_pts_smote_feature_selection/tuned_1/dnn_sem_4.keras
5,0.9255,0.6617,0.6582,0.6586,0.6478,36.45,model_pts_smote_feature_selection/tuned_1/dnn_sem_5.keras
6,0.8906,0.6689,0.6597,0.6669,0.6589,41.43,model_pts_smote_feature_selection/tuned_1/dnn_sem_6.keras
7,0.8813,0.6768,0.6718,0.6756,0.6681,50.02,model_pts_smote_feature_selection/tuned_1/dnn_sem_7.keras
8,0.8948,0.6668,0.6722,0.6674,0.6666,54.14,model_pts_smote_feature_selection/tuned_1/dnn_sem_8.keras
9,0.8381,0.6939,0.6954,0.6936,0.6923,55.96,model_pts_smote_feature_selection/tuned_1/dnn_sem_9.keras
10,0.8462,0.6882,0.6918,0.6884,0.6829,58.35,model_pts_smote_feature_selection/tuned_1/dnn_sem_10.keras
11,0.8318,0.6933,0.696,0.6931,0.6903,59.17,model_pts_smote_feature_selection/tuned_1/dnn_sem_11.keras
14,0.8221,0.6949,0.6951,0.6947,0.6921,60.4,model_pts_smote_feature_selection/tuned_1/dnn_sem_14.keras
13,0.8349,0.6954,0.6958,0.6957,0.6921,62.96,model_pts_smote_feature_selection/tuned_1/dnn_sem_13.keras
12,0.8746,0.6759,0.6794,0.676,0.6703,64.3,model_pts_smote_feature_selection/tuned_1/dnn_sem_12.keras
