semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.6951,0.7197,0.7081,0.6754,0.6522,9.99,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_1.keras
2,0.5515,0.7865,0.7549,0.7547,0.7457,16.25,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_2.keras
3,0.5741,0.7868,0.7637,0.7712,0.7621,19.7,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_3.keras
4,0.6005,0.7643,0.7664,0.7398,0.7343,23.0,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_4.keras
5,0.6041,0.7673,0.7757,0.7743,0.7668,25.44,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_5.keras
6,0.5294,0.7989,0.8034,0.7986,0.7945,27.73,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_6.keras
7,0.5287,0.7955,0.8012,0.7871,0.7872,30.05,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_7.keras
8,0.6243,0.7746,0.7971,0.7686,0.765,33.52,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_8.keras
9,0.5693,0.789,0.8211,0.7847,0.7747,33.76,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_9.keras
10,0.4871,0.8154,0.8175,0.8142,0.8126,33.16,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_10.keras
11,0.4915,0.8101,0.8188,0.8101,0.8078,33.08,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_11.keras
12,0.5146,0.8049,0.8126,0.8042,0.8027,32.39,model_kedinasan_smote_feature_selection/tuned_5/dnn_sem_12.keras
