semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.6994,0.7357,0.6962,0.6598,0.6502,9.8,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_1.keras
2,0.6473,0.7633,0.718,0.7086,0.7047,16.08,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_2.keras
3,0.6902,0.7308,0.6889,0.6844,0.6756,19.6,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_3.keras
4,0.55,0.789,0.7778,0.7726,0.772,22.14,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_4.keras
5,0.709,0.7391,0.7373,0.7382,0.7297,25.42,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_5.keras
6,0.5892,0.7855,0.778,0.7824,0.7789,27.96,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_6.keras
7,0.5306,0.8102,0.808,0.8072,0.8051,30.59,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_7.keras
8,0.5479,0.7972,0.7989,0.7952,0.7935,31.41,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_8.keras
9,0.6313,0.7677,0.7874,0.7652,0.7611,32.49,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_9.keras
10,0.5402,0.7949,0.8023,0.793,0.7917,31.84,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_10.keras
11,0.6408,0.775,0.7827,0.7747,0.7755,32.2,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_11.keras
12,0.5886,0.7845,0.7895,0.7841,0.7831,32.17,model_kedinasan_smote_feature_selection/tuned_6/dnn_sem_12.keras
