semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.7936,0.7046,0.7194,0.705,0.702,8.64,model_ptn_smote/tuned_5/dnn_sem_1.keras
2,0.4974,0.8274,0.8257,0.8292,0.8225,16.11,model_ptn_smote/tuned_5/dnn_sem_2.keras
3,0.5114,0.8237,0.8225,0.8252,0.8185,22.66,model_ptn_smote/tuned_5/dnn_sem_3.keras
4,0.4668,0.8278,0.8385,0.8247,0.8249,28.47,model_ptn_smote/tuned_5/dnn_sem_4.keras
5,0.8436,0.737,0.7985,0.7252,0.7317,33.25,model_ptn_smote/tuned_5/dnn_sem_5.keras
6,0.3594,0.8771,0.8766,0.8794,0.8771,38.82,model_ptn_smote/tuned_5/dnn_sem_6.keras
7,0.4115,0.8536,0.8606,0.856,0.8534,41.95,model_ptn_smote/tuned_5/dnn_sem_7.keras
8,0.3414,0.8755,0.878,0.8747,0.8751,44.53,model_ptn_smote/tuned_5/dnn_sem_8.keras
9,0.4646,0.828,0.846,0.8285,0.824,45.63,model_ptn_smote/tuned_5/dnn_sem_9.keras
10,0.3621,0.8643,0.8652,0.8632,0.8625,45.88,model_ptn_smote/tuned_5/dnn_sem_10.keras
11,0.3847,0.8614,0.8675,0.8614,0.8602,45.5,model_ptn_smote/tuned_5/dnn_sem_11.keras
12,0.5992,0.8202,0.8251,0.8195,0.8157,46.76,model_ptn_smote/tuned_5/dnn_sem_12.keras
13,0.3875,0.8591,0.8607,0.8575,0.8552,45.98,model_ptn_smote/tuned_5/dnn_sem_13.keras
14,0.412,0.848,0.8588,0.8475,0.8447,45.37,model_ptn_smote/tuned_5/dnn_sem_14.keras
